id,lat,lng,horario,tipo,direccion
1,-34.48461,-58.62354, 08:00 a 20:00 hs,Centro de Carga,COLECTORA OESTE 25582
2,-34.4858,-58.6202, 08:00 a 20:00 hs,Centro de Carga,BOULOGNE SUR MER 2310
3,-34.486,-58.6145, 08:00 a 20:00 hs,Centro de Carga,TRIUNVIRATO 1513
4,-34.48804,-58.61387, 08:00 a 20:00 hs,Centro de Carga,TRIUNVIRATO 1663
5,-34.48804,-58.61387, 08:00 a 20:00 hs,Centro de Carga,TRIUNVIRATO 1663
6,-34.48151,-58.64091, 08:00 a 21:00 hs,Centro de Carga,COLECTORA OESTE KM 28.3 0
7,-34.48147,-58.63779, 08:00 a 21:00 hs,Centro de Carga,PASCUAL PALAZZO AU. 313
8,-34.48852,-58.61351, 08:00 a 20:00 hs,Centro de Carga,CONSTITUYENTES 3111
9,-34.4837,-58.62374, 08:00 a 20:00 hs,Centro de Carga,COLECTORA OESTE 25582
10,-34.4935,-58.6383, 08:00 a 20:00 hs,Centro de Carga,MANUEL ESTRADA 1150
11,-34.47619,-58.61556, 08:00 a 20:00 hs,Centro de Carga,ELCANO SEBASTIAN 630
12,-34.53008,-58.49597, 08:00 a 20:00 hs,Centro de Carga,SAN MARTIN JOSE DE GRAL. AV. 2529
13,-34.52814,-58.49207, 08:00 a 20:00 hs,Centro de Carga,SAN MARTIN JOSE DE GRAL. AV. 2199
14,-34.5405,-58.4854, 08:00 a 20:00 hs,Centro de Carga,DEL VALLE A. 1531
15,-34.5233,-58.48929, 08:00 a 20:00 hs,Centro de Carga,YRIGOYEN HIPOLITO PTE. 1792
16,-34.52785,-58.50527, 08:00 a 20:00 hs,Centro de Carga,ROSETTI CNEL. 1998
17,-34.5376,-58.47661, 08:00 a 20:00 hs,Centro de Carga,MAIPU AV. 18
18,-34.5376,-58.47661, 08:00 a 20:00 hs,Centro de Carga,MAIPU AV. 18
19,-34.53668,-58.50973, 08:00 a 20:00 hs,Centro de Carga,GRAL. SAN MARTIN 3645
20,-34.5386,-58.51359, 07:00 a 23:00 hs,Centro de Carga,SAN MARTIN JOSE DE GRAL. AV. 3995
21,-34.53729,-58.50385, 08:00 a 20:00 hs,Centro de Carga,ROCA GRAL. 3333
22,-34.58144,-58.88858, 08:00 a 20:00 hs,Centro de Carga,MARIO BUSCHIAZZO 6618
23,-34.63631,-58.85687, 08:00 a 20:00 hs,Centro de Carga,NEMESIO ALVAREZ AV. 1969
24,-34.60557,-58.86316, 08:00 a 20:00 hs,Centro de Carga,ROSSINI 3909
25,-34.63676,-58.85542, 08:00 a 20:00 hs,Centro de Carga,SEMANA DE MAYO 1097
26,-34.57299,-58.86509, 08:00 a 20:00 hs,Centro de Carga,PUERTO DESEADO 6174
27,-34.60886,-58.86869, 08:00 a 20:00 hs,Centro de Carga,JOSE IGNACIO GORRITI 1093
28,-34.58471,-58.8485, 08:00 a 20:00 hs,Centro de Carga,CASTRO ROSALIA DE 4459
29,-34.63542,-58.86065, 08:00 a 20:00 hs,Centro de Carga,SEMANA DE MAYO 1512
30,-34.42217,-58.72678, 07:00 a 23:00 hs,Centro de Carga,MITRE 611
31,-34.4219,-58.73204, 08:00 a 20:00 hs,Centro de Carga,BELGRANO GRL 220
32,-34.42942,-58.74397, 08:00 a 20:00 hs,Centro de Carga,FALCO 1045
33,-34.42295,-58.73414, 08:00 a 20:00 hs,Centro de Carga,BV. PRES. PERON 900
34,-34.42006,-58.72797, 08:00 a 20:00 hs,Centro de Carga,BELGRANO GRL 630
35,-34.42205,-58.73307, 08:00 a 20:00 hs,Centro de Carga,BV. PRES. PERON 1037
36,-34.58624,-58.43895, 08:00 a 20:00 hs,Centro de Carga,FITZ ROY 1440
37,-34.5942,-58.41737, 08:00 a 20:00 hs,Centro de Carga,HONDURAS AV. 3846
38,-34.59185,-58.41534, 08:00 a 20:00 hs,Centro de Carga,PARAGUAY 3602
39,-34.58473,-58.44429, 08:00 a 20:00 hs,Centro de Carga,CORDOBA AV. 5971
40,-34.59479,-58.43108, 08:00 a 20:00 hs,Centro de Carga,SCALABRINI ORTIZ RAUL AV. 1022
41,-34.58624,-58.43895, 08:00 a 20:00 hs,Centro de Carga,FITZ ROY 1440
42,-34.58993,-58.41667, 08:00 a 20:00 hs,Centro de Carga,SALGUERO JERONIMO 1741
43,-34.57705,-58.42964, 08:00 a 20:00 hs,Centro de Carga,SANTA FE AV. 4927
44,-34.57705,-58.42964, 08:00 a 20:00 hs,Centro de Carga,SANTA FE AV. 4927
45,-34.60379,-58.3816, 08:00 a 20:00 hs,Centro de Carga,CIUDAD UNIVESRSITARIA 0
46,-34.59573,-58.40302, 08:00 a 20:00 hs,Centro de Carga,PUEYRREDON AV. 1301
47,-34.58624,-58.43895, 08:00 a 18:00 hs,Centro de Carga,FITZ ROY 1440
48,-34.60379,-58.3816, 08:00 a 20:00 hs,Centro de Carga,DEMO 0
49,-34.58573,-58.41501, 08:00 a 20:00 hs,Centro de Carga,SANTA FE AV. 3593
50,-34.58624,-58.43895, 08:00 a 20:00 hs,Centro de Carga,FITZ ROY 1440
51,-34.58332,-58.40289, 08:00 a 20:00 hs,Centro de Carga,LAS HERAS GRAL. AV. 2933
52,-34.46749,-58.90723, 08:00 a 20:00 hs,Centro de Carga,AU. RUTA NACIONAL 9 0
53,-34.45956,-58.91364, 08:00 a 20:00 hs,Centro de Carga,RIVADAVIA 722
54,-34.4046,-58.77802, 08:00 a 20:00 hs,Centro de Carga,RUTA 8 KM47.2 0
55,-34.4568,-58.91193, 08:00 a 20:00 hs,Centro de Carga,LAGRAVE PEDRO 465
56,-34.45835,-58.9165, 09:00 a 21:00 hs,Centro de Carga,YRIGOYEN HIPOLITO 800
57,-34.46749,-58.90723, 08:00 a 20:00 hs,Centro de Carga,CHAMPAGNAT 1000
58,-34.4605,-58.91484, 08:00 a 20:00 hs,Centro de Carga,SAN MARTIN 800
59,-34.65838,-58.50388, 08:00 a 20:00 hs,Centro de Carga,ARGENTINA 3947
60,-34.43731,-58.89284, 08:00 a 20:00 hs,Centro de Carga,AVENIDA DOCTOR HONORIO PUEYRREDÓN 1820
61,-34.45436,-58.91211, 08:00 a 20:00 hs,Centro de Carga,ESTANISLAO LOPEZ 0
